brand,url,sku,name,description,price,currency,category,images,scraped_at,terms,section,image_downloads
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/cotton-bomber-jacket_67054033.html,67054033,chaqueta bomber algodón,"cotton-blend fabric, straight design, bomber design, rounded neck, elastic detail on the neck, long sleeve with elastic cuffs, two front flap pockets, front snap button closure, hem with elastic band, cable knit finish, co-ord",45.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054033_99_B3.jpg?ts=1703779392391', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054033_99_B.jpg?ts=1703775785587', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054033_99.jpg?ts=1704969228518', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67054033_99-99999999_01.jpg?ts=1704969228518']",2024-02-21T12:51:41.103755,jackets,H,"['26ee0fa3-cb12-4d44-8297-0d64dc6c9333', '9731f950-8042-44b3-8066-91bc1cddb0ce', '33b0fe9b-09f2-4be2-931c-a96b686c8e64', '094945ef-3392-4df5-8ab4-cbdacd0c0e17']"
Mango,https://shop.mango.com/fi/women/coats-trench-coats/classic-trench-coat-with-belt_67084018.html,67084018,trench clásico cinturón,"water-repellent technical fabric, 100% cotton fabric, straight design, crossover design, medium design, lapel-collar, long sleeve, loops on the cuffs, two side pockets, button fastening on the front section, adjustable belt, back-slit hem, tortoiseshell effect buttons, the ecru colour is an online exclusive, plus size available, office looks, with this cotton garment you support our investment in the mission of better cotton. this fabric is a mass balance that replaces or blends better cotton with conventional cotton, so it may not contain better cotton. partner farmers receive ongoing support and training.",79.99,EUR,abrigos,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084018_08_B3.jpg?ts=1702281795203', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084018_08_B.jpg?ts=1702280002573', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084018_08.jpg?ts=1704384218355', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67084018_08-99999999_01.jpg?ts=1704384218355']",2024-02-21T12:51:43.364842,jackets,H,"['9cd9221e-a328-4b29-adf1-3777e0051640', '4880b77a-4b82-4401-9c4a-f24b6ed8a593', '82678de6-d014-403d-8b74-06549badb6c3', 'd6d18027-c8fd-417f-9b74-16c107238a7e']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/faux-shearling-jacket_67084022.html,67084022,chaqueta borreguito,"wool mix fabric, faux sheepskin fabric, straight design, rounded neck, long sleeve, two welt pockets on the front, front button closure",59.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084022_05_B3.jpg?ts=1701936215261', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084022_05_B.jpg?ts=1701934419308', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67084022_05.jpg?ts=1703842425927', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67084022_05-99999999_01.jpg?ts=1703842425927']",2024-02-21T12:51:43.583749,jackets,H,"['a279c1b4-5223-44a0-a1b6-45d53af7f685', '524361ed-98aa-42b1-ba13-a329fc752f75', '56c512e2-abac-4cb9-906e-7a563fd66689', '7a62e3f7-5d70-4db2-beae-2104957a5080']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/leather-bomber-jacket_67094032.html,67094032,cazadora bomber piel,"100% goatskin, bomber design, shirt-style collar, long sleeve with elastic cuffs, front zip closure, hem with elastic band, inner lining",359.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094032_09_B3.jpg?ts=1704448980147', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094032_09_B.jpg?ts=1705651395045', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094032_09.jpg?ts=1704384218355', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67094032_09-99999999_01.jpg?ts=1704384218355']",2024-02-21T12:51:43.977620,jackets,H,"['aca844d7-4588-4c64-bc65-6b19ff6ee14a', '3e0e389e-437b-4a5b-9ca9-8b81a8e8290a', 'cd629351-7fb2-4ed7-a8b0-03595f0ab188', 'a584ced6-ad89-43e2-9345-812b15127497']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/100-leather-bomber-jacket_67094039.html,67094039,cazadora bomber 100% piel,"selection collection, 100% ovine leather, straight design, bomber design, round neck, long sleeve with elastic cuffs, two side pockets, front zip closure, elastic hem in back, inner lining, a selection of refined garments, made with quality materials to create a feminine and contemporary wardrobe for special occasions.",239.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094039_05_B3.jpg?ts=1704186195071', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094039_05_B.jpg?ts=1705509254946', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094039_05.jpg?ts=1705484097538', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67094039_05-99999999_01.jpg?ts=1705484097538']",2024-02-21T12:51:44.215326,jackets,H,"['50b05534-10b6-40cb-bd00-6c8ad1dceae1', '563fc916-777e-4ed7-9f7a-2e4e687b484b', '216c2ea2-6583-45ea-a2b3-8b9c4097a37d', '47c53cc6-5bd7-4b1f-9e62-d37635a74ce9']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/knitted-buttoned-jacket_67094061.html,67094061,chaqueta punto botones,"medium knit, crochet, tailored dress, rounded neck, long sleeve, two chest pockets with flaps, front button closure, cable knit finish, plus size available",49.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094061_02_B3.jpg?ts=1702918988108', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094061_02_B.jpg?ts=1702913645575', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67094061_02.jpg?ts=1704983594279', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67094061_02-99999999_01.jpg?ts=1704983594279']",2024-02-21T12:51:44.674421,jackets,H,"['5f3828c1-722f-450f-9785-13624240736a', '094eab2d-9adf-4fb1-8e8a-011252bcbac8', 'c4132a20-e4eb-4698-8f63-ef46f3e8ef18', '8ffe65df-b2c7-4b66-9d65-e2ce9e054f95']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/tweed-jacket-with-metal-buttons_67093269.html,67093269,chaqueta tweed botones metálicos,"tweed fabric, straight design, rounded neck, long sleeve, two welt pockets on the front, front closure with metal buttons, frayed finish, inner lining",69.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67093269_70_B3.jpg?ts=1701106420474', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67093269_70_B.jpg?ts=1699891388383', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67093269_70.jpg?ts=1700143422869', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67093269_70-99999999_01.jpg?ts=1700143422869']",2024-02-21T12:51:44.964045,jackets,H,"['04797a1a-d70c-4b99-a98c-42222865f1ff', '37641242-4d94-4f29-b1aa-2cd3f6270c6c', '66218ec2-d490-4021-9ec9-d6706ffb2cd0', '79104604-b926-4e08-86af-82e21a15a3bd']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/buttoned-texture-jacket_67095755.html,67095755,chaqueta textura botones,"cotton-blend fabric, textured fabric, straight design, short design, shirt-style collar, long sleeve, front button closure, co-ord",55.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67095755_05_B3.jpg?ts=1706799791661', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67095755_05_B.jpg?ts=1706794399994', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67095755_05.jpg?ts=1706878994483', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67095755_05-99999999_01.jpg?ts=1706878994483']",2024-02-21T12:51:48.973919,jackets,H,"['e5fb35b7-62e2-430c-aa7a-cbd7e6e5ac47', '1e8d39bb-fb6e-4e89-b0b8-10f9a1aeeec6', 'f7951a7f-621e-409a-a5a1-a7dde2b08ed9', 'cf543c85-ad19-4ef2-b64c-aac2c82d9b5a']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/oversized-bomber-jacket_67043263.html,67043263,chaqueta bomber oversize,"terrycloth fabric, oversize design, bomber design, shirt-style collar, long sleeve, two side pockets, front zip closure, hem with elastic band, inner lining",69.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67043263_37_B3.jpg?ts=1701106420474', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67043263_37_B.jpg?ts=1705399379113', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67043263_37.jpg?ts=1705919596915', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67043263_37-99999999_01.jpg?ts=1705919596915']",2024-02-21T12:51:49.236745,jackets,H,"['879e8f98-81ba-44a9-a990-d47b95bb2bad', '95074f9d-2680-4735-8000-8d1957d50807', 'c93e008f-af6c-42aa-a019-1e20b241568e', 'c2681b41-b054-49ce-82de-a4e9943e070f']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-blazers/fitted-suit-jacket_67054040.html,67054040,americana traje entallada,"straight design, tailored design, lapel-collar v-neck collar, lapel with notch, long sleeve, structured shoulders, two welt pockets on the front, button fastening on the front, dart detail, back slit, inner lining, co-ord, plus size available, office looks",49.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054040_35_B3.jpg?ts=1701691387556', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054040_35_B.jpg?ts=1701691387556', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054040_35.jpg?ts=1705656832795', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67054040_35-99999999_01.jpg?ts=1705656832795']",2024-02-21T12:51:49.600520,jackets,H,"['2f0218ec-42ba-47e5-9fc7-c57f49c71dbc', 'f83e0a8d-d79e-4ad1-9fbb-20cacf939b71', '6de61839-3316-4ca2-b5be-4e53adfe2769', 'a65f7a27-a3c6-4435-88b4-0e0f58327911']"
